代碼,名稱,產業,上月實際(百萬),預測(百萬),預測YoY%,近3月YoY中位,加速度pp,兩法一致,大戶週Δpp,法人5日(張)
3540,曜越,電腦及週邊設備業,391.3,326.6,-17.1,-20.3,-10.7,✅,-0.92,-198
6620,漢達,生技醫療業,80.9,57.2,-17.3,-24.4,-35.3,❌,-0.1,-3
2913,農林,貿易百貨業,27.3,28.0,-17.5,-19.3,-13.2,✅,0.18,-11
2883,凱基金,金融保險業,13403.7,-10412.0,-17.6,126.1,100.9,✅,0.28,94303
4142,國光生,生技醫療業,37.2,196.3,-18.1,51.9,71.5,❌,-0.05,349
3062,建漢,通信網路業,337.1,279.3,-18.9,-33.0,-63.9,❌,0.38,440
2466,冠西電,光電業,119.2,173.4,-19.4,-27.2,3.8,❌,-0.46,-569
3339,泰谷,光電業,66.8,61.9,-20.0,-26.6,-80.6,❌,1.84,1120
4564,元翎,電機機械,63.4,54.1,-20.3,-34.5,0.4,❌,0.05,-309
1519,華城,電機機械,1729.8,1779.1,-20.4,-9.3,-15.7,❌,0.99,170
3362,先進光,光電業,262.3,323.8,-20.7,-13.8,-30.4,❌,1.06,1424
3701,大眾控,電腦及週邊設備業,675.1,655.2,-20.9,-30.0,0.4,❌,0.43,352
5269,祥碩,半導體業,867.2,999.0,-20.9,-19.4,-59.3,✅,0.0,414
1526,日馳,電機機械,61.1,55.2,-22.5,-22.2,-12.6,✅,0.76,8
5321,美而快,數位雲端,167.3,173.0,-23.5,-22.1,1.6,✅,0.87,-411
3176,基亞,生技醫療業,94.8,88.3,-23.5,-19.8,4.2,✅,0.82,1146
2104,國際中橡,橡膠工業,872.8,1215.9,-23.8,-15.6,-3.4,❌,-0.03,3585
3455,由田,光電業,84.0,125.4,-24.0,-2.5,37.9,❌,-1.89,-1348
1310,台苯,塑膠工業,569.5,588.3,-24.8,-24.8,-11.5,✅,0.23,2904
2540,愛山林,建材營造業,948.4,746.6,-26.9,-49.1,-17.3,❌,-0.01,-1188
6547,高端疫苗,生技醫療業,41.6,38.1,-31.9,-25.0,-20.4,❌,0.92,5704
1314,中石化,塑膠工業,1040.7,1119.7,-32.0,-23.8,9.5,❌,0.38,32177
2630,亞航,航運業,328.2,316.8,-33.8,-29.2,-14.1,❌,-0.14,-172
1309,台達化,塑膠工業,601.6,755.5,-34.6,-20.6,-9.0,❌,-0.01,807
3011,今皓,電子零組件業,43.4,35.9,-34.7,-40.3,-3.4,❌,0.04,-326
3712,永崴投控,電腦及週邊設備業,762.7,1215.3,-34.9,-8.3,37.4,❌,-0.02,2968
3615,安可,光電業,49.7,55.5,-36.3,-32.0,-4.4,❌,0.37,264
1229,聯華,食品工業,1027.0,559.1,-42.9,-45.4,-60.7,✅,0.26,1067
3024,憶聲,光電業,76.7,69.4,-43.1,-57.6,0.5,❌,0.07,232
2474,可成,其他電子業,804.7,838.6,-47.8,-48.3,-27.1,✅,0.52,2607
3055,蔚華科,電子通路業,13.8,7.7,-49.2,-75.2,-94.5,❌,-0.28,-842
3078,僑威,電子零組件業,408.5,405.6,-55.0,-52.4,-5.3,❌,-0.43,-1709
6243,迅杰,半導體業,25.6,23.6,-57.2,-58.2,-10.1,✅,-0.92,-32
2601,益航,航運業,147.2,128.3,-59.1,-61.4,5.9,❌,0.0,-401
3049,精金,光電業,34.3,31.5,-70.0,-72.1,-26.4,❌,-0.58,-5965
6186,新潤,建材營造業,16.5,189.2,-91.4,-84.1,15.9,❌,-0.19,-1117
2536,宏普,建材營造業,15.3,12.2,-96.0,-97.0,-43.2,❌,-0.01,-2774
2530,華建,建材營造業,0.8,30.4,-98.5,-97.0,-29.7,❌,-0.08,-1455
