wcode,kind,uname,ucode
03430T,put,矽格,6257
034323,call,臻鼎-KY,4958
034344,call,緯穎,6669
03434T,put,台玻,1802
03435T,put,華通,2313
034361,call,穎崴,6515
03436T,put,仁寶,2324
03437T,put,金像電,2368
03438T,put,盟立,2464
03439T,put,臻鼎-KY,4958
03440T,put,達興材料,5234
03441T,put,緯穎,6669
034429,call,台達電,2308
03442T,put,緯穎,6669
034458,call,緯創,3231
034460,call,群創,3481
034469,call,亞翔,6139
03446T,put,元大台灣50,0050
034474,call,AES-KY,6781
03447T,put,東元,1504
034507,call,亞翔,6139
03451T,put,立隆電,2472
03452T,put,力成,6239
034538,call,奇鋐,3017
034572,call,光寶科,2301
034573,call,台達電,2308
034574,call,華通,2313
03458T,put,立隆電,2472
034591,call,亞光,3019
034597,call,群創,3481
034598,call,辛耘,3583
034599,call,貿聯-KY,3665
03459T,put,力成,6239
034603,call,臻鼎-KY,4958
034604,call,臻鼎-KY,4958
03461T,put,華城,1519
034622,call,華邦電,2344
03462T,put,力成,6239
03464T,put,元大台灣50,0050
03467T,put,日月光投控,3711
03468T,put,元大台灣50,0050
03469T,put,元大台灣50,0050
034716,call,南電,8046
034741,call,樺漢,6414
03475T,put,力積電,6770
034768,call,台達電,2308
034769,call,台達電,2308
03476T,put,元大台灣50,0050
034772,call,華通,2313
034779,call,京元電子,2449
03477T,put,力積電,6770
034783,call,漢翔,2634
034786,call,辛耘,3583
034788,call,貿聯-KY,3665
034790,call,神達,3706
034791,call,神達,3706
034795,call,臻鼎-KY,4958
034796,call,臻鼎-KY,4958
03480T,put,聯電,2303
034811,call,京元電子,2449
034814,call,奇鋐,3017
034819,call,京元電子,2449
03481T,put,南亞科,2408
03482T,put,力積電,6770
03483T,put,聯電,2303
034841,call,群創,3481
034842,call,辛耘,3583
03484T,put,佳世達,2352
034857,call,光寶科,2301
034859,call,智邦,2345
03485T,put,宏碁,2353
03486T,put,英業達,2356
034870,call,京元電子,2449
03487T,put,微星,2377
034880,call,緯創,3231
034888,call,精成科,6191
03488T,put,緯創,3231
034897,call,AES-KY,6781
034901,call,昇陽半導體,8028
03491T,put,華碩,2357
034924,call,漢唐,2404
03492T,put,元大台灣50,0050
034930,call,創意,3443
034939,call,穎崴,6515
03493T,put,仁寶,2324
03494T,put,華碩,2357
03495T,put,南亞科,2408
03496T,put,宏碁,2353
03497T,put,華碩,2357
03498T,put,緯創,3231
034994,call,祥碩,5269
03499T,put,華邦電,2344
03500T,put,微星,2377
03501T,put,華邦電,2344
035036,call,辛耘,3583
035046,call,中興電,1513
035047,call,中砂,1560
035051,call,台達電,2308
035052,call,華通,2313
035053,call,國巨*,2327
035054,call,華邦電,2344
035055,call,智邦,2345
035056,call,佳能,2374
035057,call,台光電,2383
035059,call,漢唐,2404
035060,call,建準,2421
035061,call,京元電子,2449
035062,call,京元電子,2449
035063,call,京元電子,2449
035065,call,志聖,2467
